기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2025,26,부산광역시,대학,신라대학교,본교,사립,0,7073302.5,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,한라대학교,본교,사립,0,7532127.5,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,배재대학교,본교,사립,0,7731641.1,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,백석대학교,본교,사립,0,8362803.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,삼육대학교,본교,사립,0,8278362.1,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,협성대학교,본교,사립,0,7913432.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,상명대학교,본교,사립,0,8173318.3,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,상지대학교,본교,사립,0,7859253.5,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서강대학교,본교,사립,0,8439438.6,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서경대학교,본교,사립,0,8422266.4,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,서울신학대학교,본교,사립,0,7636306.2,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,서원대학교,본교,사립,0,7340153.8,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,대구가톨릭대학교,본교,사립,0,7656739.6,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,선문대학교,본교,사립,0,8004005.6,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,성결대학교,본교,사립,0,7621682.4,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,성공회대학교,본교,사립,0,7450011.2,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,차의과학대학교,본교,사립,0,7568914.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,성균관대학교,본교,사립,0,8905163.3,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,부산가톨릭대학교,본교,사립,0,7245362.2,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,성신여자대학교,본교,사립,0,8404243.1,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,호남대학교,본교,사립,0,6581105.5,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,부산외국어대학교,본교,사립,0,6734485.2,2025-05-19,B552529,한국장학재단
